DATE,DTWEXBGS
2010-10-04,91.019
2010-10-05,90.5806
2010-10-06,90.1604
2010-10-07,90.3053
2010-10-08,90.132
2010-10-11,.
2010-10-12,90.2376
2010-10-13,89.7964
2010-10-14,89.5423
2010-10-15,89.7002
2010-10-18,89.8661
2010-10-19,90.5649
2010-10-20,90.1612
2010-10-21,90.154
2010-10-22,90.4215
2010-10-25,89.9486
2010-10-26,90.2979
2010-10-27,90.8184
2010-10-28,90.2575
2010-10-29,90.1099
2010-11-01,90.0478
2010-11-02,89.7026
2010-11-03,89.7264
2010-11-04,89.0043
2010-11-05,89.2635
2010-11-08,89.5898
2010-11-09,89.5748
2010-11-10,89.9215
2010-11-11,.
2010-11-12,90.1862
2010-11-15,90.4482
2010-11-16,91.1236
2010-11-17,90.9422
2010-11-18,90.664
2010-11-19,90.7135
2010-11-22,90.7169
2010-11-23,91.4438
2010-11-24,91.23
2010-11-25,.
2010-11-26,91.826
2010-11-29,92.2087
2010-11-30,92.1571
2010-12-01,91.6889
2010-12-02,91.2752
2010-12-03,90.891
2010-12-06,91.0276
2010-12-07,90.9855
2010-12-08,91.3497
2010-12-09,91.4038
2010-12-10,91.2954
2010-12-13,90.8977
2010-12-14,90.7776
2010-12-15,91.1058
2010-12-16,91.3885
2010-12-17,91.565
2010-12-20,91.6497
2010-12-21,91.5282
2010-12-22,91.4372
2010-12-23,91.3096
2010-12-24,.
2010-12-27,91.2042
2010-12-28,90.9924
2010-12-29,90.7756
2010-12-30,90.5236
2010-12-31,.
2011-01-03,89.9623
2011-01-04,90.3362
2011-01-05,90.5781
2011-01-06,90.9195
2011-01-07,91.0073
2011-01-10,91.0373
2011-01-11,90.8498
2011-01-12,90.4184
2011-01-13,89.9114
2011-01-14,90.055
2011-01-17,.
2011-01-18,89.8306
2011-01-19,89.7052
2011-01-20,90.141
2011-01-21,89.7311
2011-01-24,89.5488
2011-01-25,89.7386
2011-01-26,89.5202
2011-01-27,89.5843
2011-01-28,89.8307
2011-01-31,89.7073
2011-02-01,89.1576
2011-02-02,89.087
2011-02-03,89.2652
2011-02-04,89.4029
2011-02-07,89.3673
2011-02-08,89.1358
2011-02-09,89.429
2011-02-10,89.6389
2011-02-11,89.89
2011-02-14,89.8662
2011-02-15,89.8992
2011-02-16,89.7179
2011-02-17,89.4235
2011-02-18,89.211
2011-02-21,.
2011-02-22,89.4749
2011-02-23,89.4324
2011-02-24,89.2489
2011-02-25,89.1807
2011-02-28,88.9539
2011-03-01,88.8454
2011-03-02,88.7467
2011-03-03,88.6518
2011-03-04,88.5046
2011-03-07,88.5351
2011-03-08,88.6593
2011-03-09,88.5464
2011-03-10,88.8826
2011-03-11,88.7045
2011-03-14,88.5329
2011-03-15,88.798
2011-03-16,88.9916
2011-03-17,88.6695
2011-03-18,88.5371
2011-03-21,88.2186
2011-03-22,88.0823
2011-03-23,88.3478
2011-03-24,88.0746
2011-03-25,88.1862
2011-03-28,88.3202
2011-03-29,88.4128
2011-03-30,88.2437
2011-03-31,88.0443
2011-04-01,87.8138
2011-04-04,87.8547
2011-04-05,87.7629
2011-04-06,87.5063
2011-04-07,87.5468
2011-04-08,87.1649
2011-04-11,87.1102
2011-04-12,87.3103
2011-04-13,87.2256
2011-04-14,87.0968
2011-04-15,87.0214
2011-04-18,87.5232
2011-04-19,87.0952
2011-04-20,86.5815
2011-04-21,86.2433
2011-04-22,86.3918
2011-04-25,86.4207
2011-04-26,86.2762
2011-04-27,86.27
2011-04-28,85.8613
2011-04-29,85.6196
2011-05-02,85.5397
2011-05-03,85.655
2011-05-04,85.911
2011-05-05,86.526
2011-05-06,86.475
2011-05-09,86.8512
2011-05-10,86.6685
2011-05-11,86.7359
2011-05-12,87.0928
2011-05-13,87.4329
2011-05-16,87.3471
2011-05-17,87.6461
2011-05-18,87.3109
2011-05-19,87.2794
2011-05-20,87.3198
2011-05-23,87.9082
2011-05-24,87.6767
2011-05-25,87.6286
2011-05-26,87.5744
2011-05-27,86.9698
2011-05-30,.
2011-05-31,86.6731
2011-06-01,86.6137
2011-06-02,86.8604
2011-06-03,86.4414
2011-06-06,86.4849
2011-06-07,86.3814
2011-06-08,86.5897
2011-06-09,86.6093
2011-06-10,87.0592
2011-06-13,87.0756
2011-06-14,86.6955
2011-06-15,87.3509
2011-06-16,87.7076
2011-06-17,87.2348
2011-06-20,87.2079
2011-06-21,86.8742
2011-06-22,86.8236
2011-06-23,87.4704
2011-06-24,87.5172
2011-06-27,87.5388
2011-06-28,87.2345
2011-06-29,86.8186
2011-06-30,86.4961
2011-07-01,86.3786
2011-07-04,.
2011-07-05,86.4422
2011-07-06,86.6989
2011-07-07,86.4987
2011-07-08,86.6314
2011-07-11,87.1168
2011-07-12,87.1861
2011-07-13,86.5874
2011-07-14,86.5412
2011-07-15,86.5347
2011-07-18,86.972
2011-07-19,86.4564
2011-07-20,86.2972
2011-07-21,85.8568
2011-07-22,85.881
2011-07-25,85.8195
2011-07-26,85.489
2011-07-27,85.7321
2011-07-28,85.8438
2011-07-29,85.7484
2011-08-01,86.0582
2011-08-02,86.0729
2011-08-03,86.0909
2011-08-04,86.9487
2011-08-05,87.1275
2011-08-08,87.2068
2011-08-09,87.4121
2011-08-10,87.3993
2011-08-11,87.3413
2011-08-12,87.1963
2011-08-15,86.7717
2011-08-16,86.7315
2011-08-17,86.5727
2011-08-18,87.1474
2011-08-19,86.8493
2011-08-22,87.0959
2011-08-23,86.9213
2011-08-24,87.1524
2011-08-25,87.2511
2011-08-26,87.0963
2011-08-29,86.8646
2011-08-30,87.022
2011-08-31,86.7949
2011-09-01,86.8717
2011-09-02,87.2003
2011-09-05,.
2011-09-06,88.182
2011-09-07,87.988
2011-09-08,88.1339
