date,Gold demand
2010'Q1,973.8
2010'Q2,1151.9
2010'Q3,1030.1
2010'Q4,1034.4
2011'Q1,1171.4
2011'Q2,1090.3
2011'Q3,1271
2011'Q4,"1,244.90"
2012'Q1,1127.2
2012'Q2,"1,064.20"
2012'Q3,1177.6
2012'Q4,1302.6
2013'Q1,1137.4
2013'Q2,1310.3
2013'Q3,1071.8
2013'Q4,1041.3
2014'Q1,1116.5
2014'Q2,1086.1
2014'Q3,1072.8
2014'Q4,1121.2
2015'Q1,1091.2
2015'Q2,956.7
2015'Q3,1136.7
2015'Q4,1148.7
2016'Q1,1291.8
2016'Q2,1085.8
2016'Q3,1025.6
2016'Q4,1033.2
2017'Q1,1113.6
2017'Q2,1021.2
2017'Q3,964.8
2017'Q4,1169.6
2018'Q1,985.6
2018'Q2,1040.3
2018'Q3,1083.4
2018'Q4,1295.8
2019'Q1,1069
2019'Q2,1136.9
2019'Q3,1099.4
2019'Q4,1084.4
2020'Q1,1060.3
2020'Q2,1015.7
