"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 08, 2021","159.18","159.18","159.18","159.18","-","-0.93%"
"Mar 05, 2021","160.67","160.67","160.67","160.67","-","-1.19%"
"Mar 04, 2021","162.60","162.60","162.60","160.67","-","-0.37%"
"Mar 03, 2021","163.20","163.20","163.20","163.20","-","-0.30%"
"Mar 02, 2021","163.69","163.69","163.69","163.69","-","-0.43%"
"Mar 01, 2021","164.40","164.40","164.40","164.40","-","0.77%"
"Feb 26, 2021","163.14","163.14","163.14","163.14","-","-3.22%"
"Feb 25, 2021","168.57","168.57","168.57","168.57","-","-0.99%"
"Feb 24, 2021","170.25","170.25","170.25","170.25","-","-0.45%"
"Feb 23, 2021","171.02","171.02","171.02","171.02","-","-0.29%"
"Feb 22, 2021","171.51","171.51","171.51","171.51","-","1.34%"
"Feb 19, 2021","169.24","169.24","169.26","169.24","-","0.51%"
"Feb 18, 2021","168.38","168.41","168.41","168.41","-","0.24%"
"Feb 17, 2021","167.97","167.97","168.00","167.97","-","-1.75%"
"Feb 16, 2021","170.96","170.99","170.99","170.99","-","-0.82%"
"Feb 15, 2021","172.38","172.38","172.41","172.38","-","-0.41%"
"Feb 12, 2021","173.09","173.09","173.11","173.09","-","-0.57%"
"Feb 11, 2021","174.09","174.11","174.11","174.11","-","-0.08%"
"Feb 10, 2021","174.23","174.23","174.25","174.23","-","-0.01%"
"Feb 09, 2021","174.24","174.27","174.27","174.27","-","0.07%"
"Feb 08, 2021","174.12","174.12","174.15","174.12","-","1.58%"
"Feb 05, 2021","171.42","171.42","171.45","171.42","-","1.11%"
"Feb 04, 2021","169.53","169.56","169.56","169.56","-","-2.54%"
"Feb 03, 2021","173.95","173.95","173.97","173.95","-","-0.07%"
"Feb 02, 2021","174.08","174.10","174.10","174.10","-","-1.41%"
"Feb 01, 2021","176.57","176.57","176.60","176.57","-","0.32%"
"Jan 29, 2021","176.00","176.00","176.03","176.00","-","0.14%"
"Jan 28, 2021","175.75","175.78","175.78","175.78","-","0.37%"
"Jan 27, 2021","175.10","175.10","175.13","175.10","-","-0.40%"
"Jan 26, 2021","175.80","175.82","175.82","175.82","-","0.10%"
"Jan 25, 2021","175.62","175.62","175.65","175.62","-","-0.10%"
"Jan 22, 2021","175.79","175.79","175.82","175.79","-","-0.57%"
"Jan 21, 2021","176.79","176.82","176.82","176.82","-","0.00%"
"Jan 20, 2021","176.79","176.79","176.82","176.79","-","1.25%"
"Jan 19, 2021","174.61","174.64","174.64","174.64","-","0.18%"
"Jan 18, 2021","174.29","174.29","174.32","174.29","-","0.58%"
"Jan 15, 2021","173.29","173.29","173.36","173.29","-","-1.04%"
"Jan 14, 2021","175.12","175.19","175.19","175.19","-","-0.57%"
"Jan 13, 2021","176.12","176.12","176.19","176.12","-","0.77%"
"Jan 12, 2021","174.78","174.85","174.85","174.85","-","-0.34%"
"Jan 11, 2021","175.37","175.37","175.44","175.37","-","-0.46%"
"Jan 08, 2021","176.18","176.18","176.25","176.18","-","-2.97%"
"Jan 07, 2021","181.57","181.65","181.65","181.65","-","0.50%"
"Jan 06, 2021","180.67","180.67","180.75","180.67","-","-2.10%"
"Jan 05, 2021","184.55","184.63","184.63","184.63","-","0.26%"
"Jan 04, 2021","184.07","184.07","184.15","184.07","-","2.94%"
"Dec 30, 2020","178.81","178.81","178.88","178.81","-","0.11%"
"Dec 29, 2020","178.62","178.70","178.70","178.70","-","0.61%"
"Dec 28, 2020","177.54","177.54","177.61","177.54","-","0.00%"
"Dec 23, 2020","177.54","177.54","177.61","177.54","-","0.25%"
"Dec 22, 2020","177.09","177.16","177.16","177.16","-","-0.61%"
"Dec 21, 2020","178.18","178.18","178.25","178.18","-","-0.20%"
"Dec 18, 2020","178.54","178.54","178.64","178.54","-","-0.28%"
"Dec 17, 2020","179.05","179.15","179.15","179.15","-","1.73%"
"Dec 16, 2020","176.01","176.01","176.11","176.01","-","0.47%"
"Dec 15, 2020","175.19","175.29","175.29","175.29","-","1.28%"
"Dec 14, 2020","172.98","172.98","173.08","172.98","-","-1.03%"
"Dec 11, 2020","174.78","174.78","174.88","174.78","-","0.37%"
"Dec 10, 2020","174.14","174.14","174.24","174.14","-","-0.59%"
"Dec 09, 2020","175.17","175.17","175.17","175.17","-","-1.21%"
"Dec 08, 2020","177.32","177.32","177.32","177.32","-","0.28%"
"Dec 07, 2020","176.83","176.83","176.83","176.83","-","1.68%"
